# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:Q13950-1	ENSEMBL:ENSG00000124813	EntrezGene:860	uniprotkb:Q13951	ENSEMBL:ENSG00000067955	EntrezGene:865	complex	R-HSA-9008869	-
uniprotkb:P40763	ENSEMBL:ENSG00000168610	EntrezGene:6774	uniprotkb:P42224	ENSEMBL:ENSG00000115415	EntrezGene:6772	complex	R-HSA-1112555	-
reactome:R-HSA-110205	-	-	uniprotkb:P29372	ENSEMBL:ENSG00000103152	EntrezGene:4350	complex	R-HSA-110206	-
reactome:R-HSA-2855106	-	-	uniprotkb:P06681	ENSEMBL:ENSG00000166278|ENSEMBL:ENSG00000204364|ENSEMBL:ENSG00000206372|ENSEMBL:ENSG00000226560|ENSEMBL:ENSG00000231543|ENSEMBL:ENSG00000235017|ENSEMBL:ENSG00000235696	EntrezGene:717	reaction	R-HSA-166792	70787|12396008|6019133|10925294
uniprotkb:O94973	ENSEMBL:ENSG00000183020	EntrezGene:161	uniprotkb:P53680	ENSEMBL:ENSG00000042753	EntrezGene:1175	complex	R-HSA-8856815	-
reactome:R-HSA-8852548	-	-	reactome:R-HSA-8852534	-	-	reaction	R-HSA-8852552	15632155|20726546
uniprotkb:Q13190	ENSEMBL:ENSG00000162236	EntrezGene:6811	uniprotkb:O95249	ENSEMBL:ENSG00000108587	EntrezGene:9527	complex	R-HSA-6807794	15215310|12388752
reactome:R-HSA-8950163	-	-	reactome:R-HSA-448442	-	-	complex	R-HSA-448431	27119567
reactome:R-HSA-198904	-	-	reactome:R-HSA-198898	-	-	complex	R-HSA-198897	-
reactome:R-HSA-2025977	-	-	ChEBI:29108	-	-	reaction	R-HSA-2025890	8799126|9727000|10860980|8576111|8631904
reactome:R-HSA-171131	-	-	reactome:R-HSA-266340	-	-	reaction	R-HSA-266350	2833496|17237796|19008531|22363685|17339654|6619141|9880564
reactome:R-HSA-6811526	-	-	uniprotkb:P46695	ENSEMBL:ENSG00000137331|ENSEMBL:ENSG00000206478|ENSEMBL:ENSG00000227231|ENSEMBL:ENSG00000230128|ENSEMBL:ENSG00000235030|ENSEMBL:ENSG00000237155	EntrezGene:8870	complex	R-HSA-6811477	16456541|17200115
uniprotkb:O43684	ENSEMBL:ENSG00000154473	EntrezGene:9184	uniprotkb:Q12834	ENSEMBL:ENSG00000117399	EntrezGene:991	complex	R-HSA-377882	15085137|15085137|15085137|15085137|15085137|15085137
uniprotkb:Q92794	ENSEMBL:ENSG00000083168	EntrezGene:7994	uniprotkb:Q9HAF1	ENSEMBL:ENSG00000163875	EntrezGene:64769	complex	R-HSA-6805616	23431171|23431171|23431171|23431171|23431171|23431171
reactome:R-HSA-350870	-	-	reactome:R-HSA-141643	-	-	complex	R-HSA-202877	-
reactome:R-HSA-190389	-	-	uniprotkb:Q8WU20	ENSEMBL:ENSG00000166225	EntrezGene:10818	complex	R-HSA-5654196	11997436|11997436
reactome:R-HSA-170852	-	-	uniprotkb:P37173	ENSEMBL:ENSG00000163513	EntrezGene:7048	reaction	R-HSA-3642203	8484121|9354786|8072530|8145827|8261515|7665626|8252616|7761852|11586295|7823948
reactome:R-HSA-8982321	-	-	reactome:R-HSA-8982305	-	-	complex	R-HSA-8982312	15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859|15738427|15473859
uniprotkb:Q03112	ENSEMBL:ENSG00000085276	EntrezGene:2122	reactome:R-HSA-5632949	-	-	complex	R-HSA-8943810	21289308
reactome:R-HSA-1861670	-	-	reactome:R-HSA-2197680	-	-	complex	R-HSA-442565	-
reactome:R-HSA-5629229	-	-	uniprotkb:Q9Y2W6	ENSEMBL:ENSG00000182134	EntrezGene:11022	complex	R-HSA-5629240	-
reactome:R-HSA-8945701	-	-	uniprotkb:Q9HCE1	ENSEMBL:ENSG00000155363	EntrezGene:4343	complex	R-HSA-8945704	-
uniprotkb:P04637	ENSEMBL:ENSG00000141510	EntrezGene:7157	uniprotkb:P04637	ENSEMBL:ENSG00000141510	EntrezGene:7157	complex	R-HSA-6805046	-
reactome:R-HSA-157027	-	-	uniprotkb:P49757	ENSEMBL:ENSG00000133961	EntrezGene:101928143|EntrezGene:8650	complex	R-HSA-1604458	-
uniprotkb:P04632	ENSEMBL:ENSG00000126247	EntrezGene:826	ChEBI:29108	-	-	complex	R-HSA-3828035	-
reactome:R-HSA-453137	-	-	ChEBI:35425	-	-	reaction	R-HSA-6787329	17804405
uniprotkb:Q9UL18	ENSEMBL:ENSG00000092847	EntrezGene:26523	ChEBI:33697	-	-	complex	R-HSA-2106629	-
uniprotkb:Q08945	ENSEMBL:ENSG00000149136	EntrezGene:6749	uniprotkb:Q9Y5B9	ENSEMBL:ENSG00000092201	EntrezGene:11198	complex	R-HSA-112417	20159561|26659056
ChEBI:29105	-	-	uniprotkb:P0DML2	ENSEMBL:ENSG00000136488	EntrezGene:1442	complex	R-HSA-8942969	-
uniprotkb:Q8N126	ENSEMBL:ENSG00000162706	EntrezGene:57863	uniprotkb:Q9NQS3	ENSEMBL:ENSG00000177707	EntrezGene:25945	complex	R-HSA-420577	-
reactome:R-HSA-2993782	-	-	uniprotkb:P41208	ENSEMBL:ENSG00000147400	EntrezGene:1069	reaction	R-HSA-4570463	19706679
uniprotkb:Q9NRM7	ENSEMBL:ENSG00000150457	EntrezGene:26524	uniprotkb:Q7L9L4	ENSEMBL:ENSG00000173542	EntrezGene:92597	complex	R-HSA-2028543	19739119
uniprotkb:Q92979	ENSEMBL:ENSG00000126749	EntrezGene:10436	ChEBI:65314	-	-	reaction	R-HSA-6790906	11935223|20047967|19463982
uniprotkb:O95399	ENSEMBL:ENSG00000049247	EntrezGene:10911	uniprotkb:Q9UKP6	ENSEMBL:ENSG00000181408	EntrezGene:2837	complex	R-HSA-445119	-
uniprotkb:Q9H3L0	ENSEMBL:ENSG00000168288	EntrezGene:27249	ChEBI:16304	-	-	complex	R-HSA-3149533	-
reactome:R-HSA-173774	-	-	uniprotkb:Q9HC16-1	ENSEMBL:ENSG00000239713	EntrezGene:60489	complex	R-HSA-180616	-
reactome:R-HSA-419630	-	-	uniprotkb:P23528	ENSEMBL:ENSG00000172757	EntrezGene:1072	reaction	R-HSA-399950	-
reactome:R-HSA-8848855	-	-	ChEBI:59235	-	-	complex	R-HSA-8848840	14764708|9323206|22006319|7542404|11160317
reactome:R-HSA-8944209	-	-	reactome:R-HSA-1474201	-	-	complex	R-HSA-2220795	-
uniprotkb:Q9Y5T5	ENSEMBL:ENSG00000156256	EntrezGene:10600	reactome:R-HSA-6782784	-	-	reaction	R-HSA-5690157	25305019|18172164
reactome:R-HSA-5627063	-	-	reactome:R-HSA-2316453	-	-	complex	R-HSA-5627084	15546864
uniprotkb:P01148	ENSEMBL:ENSG00000147437	EntrezGene:2796	uniprotkb:P30968	ENSEMBL:ENSG00000109163	EntrezGene:2798	reaction	R-HSA-391372	9419371|11707068|1333190|6090951
uniprotkb:Q96PC3	ENSEMBL:ENSG00000152056	EntrezGene:130340	uniprotkb:Q10567	ENSEMBL:ENSG00000100280	EntrezGene:162	complex	R-HSA-167717	-
uniprotkb:Q16539	ENSEMBL:ENSG00000112062	EntrezGene:1432	reactome:R-HSA-450213	-	-	reaction	R-HSA-450222	15287722|8622688|17255097|8626550|8774846|8846784|17395714
reactome:R-HSA-8944351	-	-	uniprotkb:Q13547	ENSEMBL:ENSG00000116478	EntrezGene:3065	complex	R-HSA-8944365	-
reactome:R-HSA-215987	-	-	reactome:R-HSA-2564665	-	-	reaction	R-HSA-216040	-
reactome:R-HSA-190069	-	-	reactome:R-HSA-190075	-	-	reaction	R-HSA-170965	-
uniprotkb:P29597	ENSEMBL:ENSG00000105397	EntrezGene:7297	uniprotkb:P52630	ENSEMBL:ENSG00000170581	EntrezGene:6773	complex	R-HSA-909709	-
reactome:R-HSA-211238	-	-	reactome:R-HSA-350273	-	-	complex	R-HSA-211253	-
reactome:R-HSA-6782951	-	-	uniprotkb:P54727	ENSEMBL:ENSG00000119318	EntrezGene:5887	complex	R-HSA-6782947	14517266|14517266|14517266
uniprotkb:Q92838-3	ENSEMBL:ENSG00000158813	EntrezGene:1896	uniprotkb:Q9HAV5	ENSEMBL:ENSG00000131080	EntrezGene:60401	complex	R-HSA-5674595	-
reactome:R-HSA-212285	-	-	reactome:R-HSA-5617664	-	-	complex	R-HSA-5617662	22879880
uniprotkb:P04114	ENSEMBL:ENSG00000084674	EntrezGene:338	ChEBI:17855	-	-	complex	R-HSA-171131	-
reactome:R-HSA-8865330	-	-	uniprotkb:Q9BZS1	ENSEMBL:ENSG00000049768	EntrezGene:50943	complex	R-HSA-8877193	17377532|26735887|17377532
reactome:R-HSA-398056	-	-	uniprotkb:Q9NZN5	ENSEMBL:ENSG00000196914	EntrezGene:23365	complex	R-HSA-398145	-
reactome:R-HSA-428307	-	-	uniprotkb:Q9Y6M1	ENSEMBL:ENSG00000073792	EntrezGene:10644	complex	R-HSA-428335	11713986|15601260
reactome:R-HSA-216024	-	-	reactome:R-HSA-2159874	-	-	reaction	R-HSA-2328037	8617364
reactome:R-HSA-2159874	-	-	uniprotkb:P55001	ENSEMBL:ENSG00000117122	EntrezGene:4237	complex	R-HSA-2396329	-
ChEBI:29035|ChEBI:29035	-	-	uniprotkb:Q99570	ENSEMBL:ENSG00000196455	EntrezGene:30849	complex	R-HSA-1604644	-
reactome:R-HSA-5672103	-	-	reactome:R-HSA-5625964	-	-	complex	R-HSA-5625955	10913441|11689693
reactome:R-HSA-5625850	-	-	ChEBI:30915	-	-	reaction	R-HSA-5625848	18066052|16079795
reactome:R-HSA-114525	-	-	reactome:R-HSA-167434	-	-	complex	R-HSA-114547	-
reactome:R-HSA-2193131	-	-	reactome:R-HSA-5694312	-	-	reaction	R-HSA-5694425	10559959|12070132|21689688|19164740|15037235|10445031|25492864|9177194|8620540
reactome:R-HSA-5676551	-	-	uniprotkb:O00300	ENSEMBL:ENSG00000164761	EntrezGene:4982	reaction	R-HSA-5669035	10615125|12189164|17632511|22664871|18606301|9878548
uniprotkb:P60484	ENSEMBL:ENSG00000171862	EntrezGene:5728	uniprotkb:P42685	ENSEMBL:ENSG00000111816	EntrezGene:2444	reaction	R-HSA-8847968	19345329
reactome:R-HSA-1614235	-	-	uniprotkb:Q9UPQ9	ENSEMBL:ENSG00000100354	EntrezGene:23112	complex	R-HSA-1614231	-
reactome:R-HSA-5676032	-	-	reactome:R-HSA-1632839	-	-	complex	R-HSA-5678311	-
reactome:R-HSA-177110	-	-	uniprotkb:Q99ML9	-	EntrezGene:93836	complex	R-NUL-2186742	-
reactome:R-HSA-4088136	-	-	reactome:R-HSA-4088136	-	-	reaction	R-HSA-4088134	19160488
uniprotkb:P62140	ENSEMBL:ENSG00000213639	EntrezGene:5500	uniprotkb:O14974	ENSEMBL:ENSG00000058272	EntrezGene:4659	complex	R-HSA-5668948	-
reactome:R-HSA-196336	-	-	ChEBI:63837	-	-	reaction	R-HSA-193052	12832414|2243100|1944309|2770297
uniprotkb:Q9Y478	ENSEMBL:ENSG00000111725	EntrezGene:5564	uniprotkb:Q9UGJ0	ENSEMBL:ENSG00000106617	EntrezGene:51422	complex	R-HSA-380934	18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468
reactome:R-HSA-110187	-	-	uniprotkb:Q53HV7	ENSEMBL:ENSG00000123415	EntrezGene:23583	complex	R-HSA-5649542	-
reactome:R-HSA-2768978	-	-	uniprotkb:Q9Y219	ENSEMBL:ENSG00000184916	EntrezGene:3714	complex	R-HSA-2768998	-
uniprotkb:Q9NR96	ENSEMBL:ENSG00000239732	EntrezGene:54106	uniprotkb:Q9NR96	ENSEMBL:ENSG00000239732	EntrezGene:54106	complex	R-HSA-1679581	21483736|17572678|21483736|19521997|14716310|21604257|19079358
uniprotkb:P07477	ENSEMBL:ENSG00000204983|ENSEMBL:ENSG00000274247	EntrezGene:5644	uniprotkb:P03956	ENSEMBL:ENSG00000196611	EntrezGene:4312	reaction	R-HSA-1592316	2176865
uniprotkb:O94788	ENSEMBL:ENSG00000128918	EntrezGene:8854	uniprotkb:O94788	ENSEMBL:ENSG00000128918	EntrezGene:8854	complex	R-HSA-5362724	-
reactome:R-MMU-206843	-	-	uniprotkb:Q9QXX0	-	EntrezGene:16449	complex	R-NUL-206722	-
reactome:R-HSA-1606503	-	-	uniprotkb:Q9UKV8	ENSEMBL:ENSG00000123908	EntrezGene:27161	complex	R-HSA-1606549	-
reactome:R-HSA-8850523	-	-	uniprotkb:Q13371	ENSEMBL:ENSG00000136940	EntrezGene:5082	complex	R-HSA-8850544	19376773
reactome:R-HSA-2065551	-	-	reactome:R-HSA-2393994	-	-	complex	R-HSA-2426139	18654640
uniprotkb:Q9UGI0	ENSEMBL:ENSG00000019995	EntrezGene:54764	uniprotkb:P25054	ENSEMBL:ENSG00000134982	EntrezGene:324	complex	R-HSA-6781912	-
reactome:R-HSA-5672683	-	-	uniprotkb:P28482	ENSEMBL:ENSG00000100030	EntrezGene:5594	complex	R-HSA-6802667	-
uniprotkb:Q96PE2	ENSEMBL:ENSG00000110237	EntrezGene:9828	reactome:R-HSA-419164	-	-	reaction	R-HSA-419166	16212495|12101119|9308960
reactome:R-HSA-5649858	-	-	reactome:R-HSA-5649858	-	-	reaction	R-HSA-111253	11250913
uniprotkb:Q9C0E4	-	-	reactome:R-HSA-416314	-	-	reaction	R-HSA-416639	16055064
reactome:R-HSA-5626673	-	-	reactome:R-HSA-5637982	-	-	complex	R-HSA-5637989	-
uniprotkb:P40933	ENSEMBL:ENSG00000164136	EntrezGene:3600	uniprotkb:Q13261	ENSEMBL:ENSG00000134470	EntrezGene:3601	complex	R-HSA-8983129	12433361|12433361
uniprotkb:P51668	ENSEMBL:ENSG00000072401	EntrezGene:7321	uniprotkb:Q96FW1	ENSEMBL:ENSG00000167770	EntrezGene:55611	complex	R-HSA-6783303	-
reactome:R-HSA-8935860	-	-	uniprotkb:Q9HCE1	ENSEMBL:ENSG00000155363	EntrezGene:4343	complex	R-HSA-8935863	-
uniprotkb:Q12959	ENSEMBL:ENSG00000075711	EntrezGene:1739	uniprotkb:Q9P244	ENSEMBL:ENSG00000128011	EntrezGene:57622	reaction	R-HSA-8849891	16495444
reactome:R-HSA-109797	-	-	uniprotkb:P29353	ENSEMBL:ENSG00000160691	EntrezGene:6464	complex	R-HSA-5685367	-
reactome:R-HSA-1852595	-	-	uniprotkb:Q9UPQ9	ENSEMBL:ENSG00000100354	EntrezGene:23112	complex	R-HSA-1852597	-
reactome:R-HSA-206842	-	-	reactome:R-HSA-206748	-	-	complex	R-HSA-206891	-
uniprotkb:Q13233	ENSEMBL:ENSG00000095015	EntrezGene:4214	reactome:R-HSA-168113	-	-	reaction	R-HSA-933530	19666475|9008162|9689078|12221085
uniprotkb:Q9Y4K3	ENSEMBL:ENSG00000175104	EntrezGene:7189	reactome:R-HSA-8948014	-	-	reaction	R-HSA-446877	17135271
reactome:R-HSA-8847543	-	-	reactome:R-HSA-6808819	-	-	reaction	R-HSA-8847544	20163571|15758030|23091056|22013193|11718716|9915833|15718469|12429822|17274799|9244307|11748249|8636227|20874812
uniprotkb:Q86YN6	ENSEMBL:ENSG00000155846	EntrezGene:133522	reactome:R-HSA-2466368	-	-	complex	R-HSA-2466382	-
uniprotkb:Q8TEW0	ENSEMBL:ENSG00000148498	EntrezGene:56288	uniprotkb:Q9Z101	-	EntrezGene:56513	complex	R-NUL-2161136	-
uniprotkb:Q14626	ENSEMBL:ENSG00000137070	EntrezGene:3590	uniprotkb:P20809	ENSEMBL:ENSG00000095752	EntrezGene:3589	complex	R-HSA-449799	-
reactome:R-HSA-5684122	-	-	uniprotkb:Q9BX63	ENSEMBL:ENSG00000136492	EntrezGene:83990	complex	R-HSA-5684128	12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603|12791985|21659603
uniprotkb:Q93091	ENSEMBL:ENSG00000169413	EntrezGene:6039	reactome:R-ALL-8862291	-	-	complex	R-HSA-6803051	20180804
uniprotkb:P61916	ENSEMBL:ENSG00000119655	EntrezGene:10577	ChEBI:16113	-	-	complex	R-HSA-8876460	-
uniprotkb:Q9Y6Q5	ENSEMBL:ENSG00000129354	EntrezGene:10053	uniprotkb:Q10567	ENSEMBL:ENSG00000100280	EntrezGene:162	complex	R-HSA-350811	-
reactome:R-HSA-166172	-	-	uniprotkb:Q13114	ENSEMBL:ENSG00000131323	EntrezGene:7187	complex	R-HSA-2213008	16306936|16306937|17823124|19656901|14530355|14517278
uniprotkb:P41595	ENSEMBL:ENSG00000135914	EntrezGene:3357	ChEBI:28790	-	-	complex	R-HSA-390951	-
reactome:R-HSA-1806286	-	-	uniprotkb:Q15438	ENSEMBL:ENSG00000108669	EntrezGene:9267	reaction	R-HSA-8847880	9707577|9510256|9653114|9476900|10652308|23940353|8945478
uniprotkb:P58294	ENSEMBL:ENSG00000143125	EntrezGene:84432	uniprotkb:Q8NFJ6	ENSEMBL:ENSG00000101292	EntrezGene:128674	complex	R-HSA-444730	-
uniprotkb:P63165	ENSEMBL:ENSG00000116030	EntrezGene:7341	uniprotkb:P63165	ENSEMBL:ENSG00000116030	EntrezGene:7341	complex	R-HSA-3730883	9756909|21098080
reactome:R-HSA-8852513	-	-	ChEBI:29108	-	-	complex	R-HSA-8852493	-
uniprotkb:P01189	ENSEMBL:ENSG00000115138	EntrezGene:5443	uniprotkb:P32245	ENSEMBL:ENSG00000166603	EntrezGene:4160	reaction	R-HSA-388596	1325670|6274691
uniprotkb:P33897	ENSEMBL:ENSG00000101986	EntrezGene:215	uniprotkb:P28288	ENSEMBL:ENSG00000117528	EntrezGene:5825	complex	R-HSA-1456463	-
reactome:R-HSA-264960	-	-	uniprotkb:P01275	ENSEMBL:ENSG00000115263	EntrezGene:2641	reaction	R-HSA-400459	-
reactome:R-HSA-5632381	-	-	reactome:R-HSA-6798089	-	-	reaction	R-HSA-6798082	11278253|23703390|16135520
reactome:R-HSA-1362248	-	-	uniprotkb:P10244	ENSEMBL:ENSG00000101057	EntrezGene:4605	complex	R-HSA-4088300	22391450|23109430
reactome:R-HSA-156786	-	-	reactome:R-HSA-114618	-	-	reaction	R-HSA-140840	2742826
reactome:R-HSA-2311342	-	-	uniprotkb:O75396	ENSEMBL:ENSG00000265808	EntrezGene:9554	complex	R-HSA-5694326	-
reactome:R-HSA-1592226	-	-	uniprotkb:Q16656	ENSEMBL:ENSG00000106459	EntrezGene:4899	complex	R-HSA-1592221	8108407|18343819|15684387|11340167
reactome:R-HSA-170841	-	-	reactome:R-NUL-2161140	-	-	complex	R-NUL-2161166	-
reactome:R-HSA-5691059	-	-	reactome:R-HSA-68436	-	-	reaction	R-HSA-5690213	18079701|19279666|20227374
reactome:R-HSA-442641	-	-	reactome:R-HSA-5218791	-	-	reaction	R-HSA-5218827	12480817
reactome:R-CBO-190038	-	-	uniprotkb:P23763	ENSEMBL:ENSG00000139190	EntrezGene:6843	reaction	R-HSA-194809	16519520|8175689|15217342|8226912|8402889
reactome:R-HSA-1963583	-	-	uniprotkb:Q14451	ENSEMBL:ENSG00000141738	EntrezGene:2886	reaction	R-HSA-1306953	9516479
uniprotkb:Q07889	ENSEMBL:ENSG00000115904	EntrezGene:6654	reactome:R-HSA-109796	-	-	reaction	R-HSA-210977	9690470
uniprotkb:Q9HB89	ENSEMBL:ENSG00000171596	EntrezGene:10316	uniprotkb:P48645	ENSEMBL:ENSG00000109255	EntrezGene:10874	complex	R-HSA-964802	-
reactome:R-HSA-112431	-	-	reactome:R-HSA-173511	-	-	reaction	R-HSA-2176475	19914168
reactome:R-HSA-201857	-	-	reactome:R-HSA-1861670	-	-	complex	R-HSA-442565	-
reactome:R-HSA-8877285	-	-	uniprotkb:P50395	ENSEMBL:ENSG00000057608	EntrezGene:2665	complex	R-HSA-8877287	-
uniprotkb:Q9Z1T6	-	EntrezGene:18711	uniprotkb:Q92562	ENSEMBL:ENSG00000112367	EntrezGene:9896	complex	R-NUL-1806155	-
reactome:R-HSA-5654226	-	-	reactome:R-HSA-5654226	-	-	reaction	R-HSA-5654222	10579907
reactome:R-HSA-177505	-	-	uniprotkb:P32004	ENSEMBL:ENSG00000198910	EntrezGene:3897	complex	R-HSA-392746	-
uniprotkb:Q9HCJ0	ENSEMBL:ENSG00000078687	EntrezGene:57690	uniprotkb:Q9HCE1	ENSEMBL:ENSG00000155363	EntrezGene:4343	complex	R-HSA-8944622	-
reactome:R-HSA-199592	-	-	uniprotkb:Q8N423	ENSEMBL:ENSG00000131042|ENSEMBL:ENSG00000274513|ENSEMBL:ENSG00000275463|ENSEMBL:ENSG00000276146	EntrezGene:10288	complex	R-HSA-198896	-
uniprotkb:Q06828	ENSEMBL:ENSG00000122176	EntrezGene:2331	uniprotkb:P01137	ENSEMBL:ENSG00000105329	EntrezGene:7040	complex	R-HSA-2467308	-
uniprotkb:P02753	ENSEMBL:ENSG00000138207	EntrezGene:5950	ChEBI:17336	-	-	complex	R-HSA-2453678	-
reactome:R-HSA-388786	-	-	uniprotkb:P15498	ENSEMBL:ENSG00000141968	EntrezGene:7409	complex	R-HSA-389334	-
uniprotkb:Q16572	ENSEMBL:ENSG00000187714	EntrezGene:6572	uniprotkb:P63027	ENSEMBL:ENSG00000220205	EntrezGene:6844	complex	R-HSA-264786	-
reactome:R-HSA-555063	-	-	reactome:R-HSA-443655	-	-	reaction	R-HSA-445089	12082080
reactome:R-HSA-159045	-	-	uniprotkb:P06730	ENSEMBL:ENSG00000151247	EntrezGene:1977	reaction	R-HSA-159050	12003494|20129943
uniprotkb:Q9Y678	ENSEMBL:ENSG00000181789	EntrezGene:22820	uniprotkb:P53618	ENSEMBL:ENSG00000129083	EntrezGene:1315	complex	R-HSA-6807806	-
reactome:R-HSA-444621	-	-	ChEBI:17992	-	-	complex	R-HSA-444662	-
reactome:R-HSA-450344	-	-	reactome:R-HSA-1027367	-	-	reaction	R-HSA-1028816	12604599
uniprotkb:Q53H96	ENSEMBL:ENSG00000104524|ENSEMBL:ENSG00000276657	EntrezGene:65263	uniprotkb:Q53H96	ENSEMBL:ENSG00000104524|ENSEMBL:ENSG00000276657	EntrezGene:65263	complex	R-HSA-6783932	2722838
uniprotkb:P55072	ENSEMBL:ENSG00000165280	EntrezGene:7415	ChEBI:15414	-	-	reaction	R-HSA-8932276	16118227
uniprotkb:Q9H2K2	ENSEMBL:ENSG00000107854	EntrezGene:80351	reactome:R-HSA-3640822	-	-	reaction	R-HSA-3640858	21799911|23144924|22440753|16884355|19759537|21478859
uniprotkb:P22607	ENSEMBL:ENSG00000068078	EntrezGene:2261	uniprotkb:P22607	ENSEMBL:ENSG00000068078	EntrezGene:2261	complex	R-HSA-2038353	-
uniprotkb:Q04725	ENSEMBL:ENSG00000065717	EntrezGene:7089	uniprotkb:Q04725	ENSEMBL:ENSG00000065717	EntrezGene:7089	complex	R-HSA-3322382	-
reactome:R-HSA-205310	-	-	uniprotkb:O14544	ENSEMBL:ENSG00000170677	EntrezGene:9306	complex	R-HSA-1470001	-
reactome:R-MMU-2032311	-	-	reactome:R-MMU-206843	-	-	complex	R-NUL-206722	-
reactome:R-HSA-6781837	-	-	reactome:R-HSA-6781842	-	-	reaction	R-HSA-6781833	16916636|12732143|22118460
